연번,업소명,소재지도로명,소재지지번,업태명,영업장면적
1,송학횟집,"서울특별시 서초구 법원로3길 12, 승소빌딩 지하1층 (서초동)",서울특별시 서초구 서초동  1706번지 12호  승소빌딩,회집,433.52
2,망향비빔국수 신사점,"서울특별시 서초구 강남대로95길 17, 1층 (잠원동)",서울특별시 서초구 잠원동  29번지 3호  1층,한식,125.15
3,부안애서,"서울특별시 서초구 청계산로 223, 1층 (신원동)",서울특별시 서초구 신원동  197번지 1호  1층,한식,148.17
4,서초바다 청조,"서울특별시 서초구 서초대로 338, 102호 (서초동)",서울특별시 서초구 서초동  1677번지 8호  -102,한식,168.29
5,서래족발,"서울특별시 서초구 방배로 189, 1층 (방배동)",서울특별시 서초구 방배동  836번지 5호  1층 남쪽끝,한식,145
6,해승어풍,"서울특별시 서초구 남부순환로347길 28, 반도빌딩 1층 (서초동)",서울특별시 서초구 서초동  1363번지  반도빌딩 1층,한식,120.86
7,쌍다리돼지불백 양재점,"서울특별시 서초구 언남11길 34-2, 1층 (양재동)",서울특별시 서초구 양재동  268번지  1층,한식,90.32
8,훌탐라수면,"서울특별시 서초구 강남대로10길 7, 1층 (양재동)",서울특별시 서초구 양재동  327번지 18호  1층,기타,188.49
9,소담비빔국수,"서울특별시 서초구 바우뫼로33길 7-8, 1층 (양재동)",서울특별시 서초구 양재동  68번지 7호  1층,한식,91.95
10,월화당(서래본점),"서울특별시 서초구 사평대로22길 9, 포레스트 1층 (반포동)",서울특별시 서초구 반포동  94번지 13호  포레스트 1층,한식,152.75
11,주식회사 석안정,"서울특별시 서초구 사평대로 349, 서초빌딩 109,110호 (반포동)",서울특별시 서초구 반포동  746번지 9호  서초빌딩,한식,99.58
12,육목원,"서울특별시 서초구 서초대로78길 46, 1층 (서초동)",서울특별시 서초구 서초동  1330번지 15호  1층,한식,158.33
13,내림손 삼계탕,"서울특별시 서초구 반포대로30길 34, 1층 (서초동)",서울특별시 서초구 서초동  1555번지 3호  1층,한식,197.43
14,비노바인,"서울특별시 서초구 반포대로23길 6, 지하1층 (서초동)",서울특별시 서초구 서초동  1540번지 5호  효진빌딩,경양식,250
15,감선호취,"서울특별시 서초구 강남대로53길 11, 1층 103호 (서초동, 서초동삼성쉐르빌2)",서울특별시 서초구 서초동  1330번지  서초동삼성쉐르빌2  1층 103호,한식,329.39
16,옛날 손칼국수 전문점,"서울특별시 서초구 서초대로53길 20-3, (서초동,1층)",서울특별시 서초구 서초동  1697번지 31호  1층,한식,148.5
17,건너편갈비살,"서울특별시 서초구 신반포로42길 2, 2층 201,202,203,204,205호 (반포동, NOVA월드)","서울특별시 서초구 반포동  703번지 3호  2층 201,202,203,204,205호",한식,97.74
18,우나기야 주식회사,"서울특별시 서초구 서래로8길 6, 4층 (반포동)",서울특별시 서초구 반포동  91번지 1호  4층,일식,266.44
19,아비꼬 내방역점,"서울특별시 서초구 서초대로25길 23, 1층 101호 (방배동)",서울특별시 서초구 방배동  875번지 20호  1층 101호,일식,67
20,수하동 서초점,"서울특별시 서초구 법원로2길 6, 1층 (서초동)",서울특별시 서초구 서초동  1716번지 5호  1층,한식,139
21,속리산 염소요리 전문점,"서울특별시 서초구 법원로3길 24, (서초동,두언빌딩 1층)",서울특별시 서초구 서초동  1708번지 6호  두언빌딩 1층,한식,172.61
22,오장동함흥냉면 파미에스테이션점,"서울특별시 서초구 사평대로 205, CENTRALCITY 반포천 복개주차장 1층 FP113호 (반포동)",서울특별시 서초구 반포동  118번지 3호  CENTRALCITY 반포천 복개주차장 1층 FP113호,냉면집,89.9
